"Thématiques","Critères","Accueil","Contact","Mentions légales","Accessibilité","Aide"
"10","9","nc|Le fil d'Ariane donne l'information de la page courante à travers la position dans le menu uniquement. L'attribut aria-current=""page"" pourrait être ajouté sur le menu courant. Note : le top-menu actif (ex. ""Particuliers"") pourrait donner cette information à travers un attribut aria-current=""true"".","nc|Le fil d'Ariane donne l'information de la page courante à travers la position dans le menu uniquement. L'attribut aria-current=""page"" pourrait être ajouté sur le menu courant. Note : le top-menu actif (ex. ""Particuliers"") pourrait donner cette information à travers un attribut aria-current=""true"".","nc|Le fil d'Ariane donne l'information de la page courante à travers la position dans le menu uniquement. L'attribut aria-current=""page"" pourrait être ajouté sur le menu courant. Note : le top-menu actif (ex. ""Particuliers"") pourrait donner cette information à travers un attribut aria-current=""true"".","nc|Le fil d'Ariane donne l'information de la page courante à travers la position dans le menu uniquement. L'attribut aria-current=""page"" pourrait être ajouté sur le menu courant. Note : le top-menu actif (ex. ""Particuliers"") pourrait donner cette information à travers un attribut aria-current=""true"".","nc|Le fil d'Ariane donne l'information de la page courante à travers la position dans le menu uniquement. L'attribut aria-current=""page"" pourrait être ajouté sur le menu courant. Note : le top-menu actif (ex. ""Particuliers"") pourrait donner cette information à travers un attribut aria-current=""true""."
"10","10","nc|L'indication de visibilité du formulaire principal, modifiable par le bouton ""Commencer"" / ""Fermer"", est donnée (entre autre...) par l'état ""sélectionné"" ou ""non sélectionné"" d'un bouton radio. On pourrait utiliser un attribut aria-expanded sur le bouton.","nc|L'indication de visibilité du formulaire principal, modifiable par le bouton ""Commencer"" / ""Fermer"", est donnée (entre autre...) par l'état ""sélectionné"" ou ""non sélectionné"" d'un bouton radio. On pourrait utiliser un attribut aria-expanded sur le bouton.","nc|L'indication de visibilité du formulaire principal, modifiable par le bouton ""Commencer"" / ""Fermer"", est donnée (entre autre...) par l'état ""sélectionné"" ou ""non sélectionné"" d'un bouton radio. On pourrait utiliser un attribut aria-expanded sur le bouton.","nc|L'indication de visibilité du formulaire principal, modifiable par le bouton ""Commencer"" / ""Fermer"", est donnée (entre autre...) par l'état ""sélectionné"" ou ""non sélectionné"" d'un bouton radio. On pourrait utiliser un attribut aria-expanded sur le bouton.","nc|L'indication de visibilité du formulaire principal, modifiable par le bouton ""Commencer"" / ""Fermer"", est donnée (entre autre...) par l'état ""sélectionné"" ou ""non sélectionné"" d'un bouton radio. On pourrait utiliser un attribut aria-expanded sur le bouton."
"10","11","c","c","c","c","c"
"10","12","c|Attention, le composant d'interface ""Date Picker"" ne s'affiche pas correctement avec ""letter-spacing: 0.12em;""","c","c","c","c"
"10","13","na","na","na","na","na"
"10","14","na","na","na","na","na"
"11","1","c","na","na","na","na"
"11","2","c","na","na","na","na"
"11","3","c|Attention peut-être la formulation ""Autorité de délivrance du justificatif d'identité (délivré par)"" semble être construite de façon différente que ""à (lieu de naissance)"". Peut-être utiliser ""délivré par (Autorité de délivrance du justificatif d'identité)"" ?","na","na","na","na"
"11","4","c","na","na","na","na"
"11","5","nc|Les champs dans l'étape 2 du formulaire devraient être regroupés (ex.: les champs sous ""Justificatif d'identité du titulaire de l'autorité parentale"" ou sous ""Coordonnées du titulaire de l'autorité parentale"")","na","na","na","na"
"11","6","c","na","na","na","na"
"11","7","c","na","na","na","na"
"11","8","na","na","na","na","na"
"11","9","c|Attention à l'intitulé  du bouton ""Fermer"" qui n'est pas très explicite...","na","na","na","na"
"11","10","c","na","na","na","na"
"11","11","c|Attention au texte ""Merci de saisir tous les champs""... il ne s'agit que des champs obligatoires.","na","na","na","na"
"11","12","na","na","na","na","na"
"11","13","nc","na","na","na","na"
"12","1","c","c","c","c","c"
"12","2","c","c","c","c","c"
"12","3","c","c","c","c","c"
"12","4","c","c","c","c","c"
"12","5","c","c","c","c","c"
"12","6","c","c","c","c","c"
"12","7","c","c","c","c","c"
"12","8","c","c","c","c","c"
"12","9","nc|Bug sur les champs de date","nc|Bug sur les champs de date","nc|Bug sur les champs de date","nc|Bug sur les champs de date","nc|Bug sur les champs de date"
"12","10","na","na","na","na","na"
"12","11","c","c","c","c","c"
"13","1","c","c","c","c","c"
"13","2","c","c","c","c","c"
"13","3","c|Attention, l'exemplaire vierge du formulaire cerfa_15646-01 (pdf) n'est pas accessible","na","na","na","na"
"13","4","c","na","na","na",
"13","5","na","na","na","na","na"
"13","6","na","na","na","na","na"
"13","7","na","na","na","na","na"
"13","8","na","na","na","na","na"
"13","9","c","c","c","c","c"
"13","10","na","na","na","na","na"
"13","11","na","na","na","na","na"
"13","12","na","na","na","na","na"
