"Thématiques","Critères","Formulaire étape 1
""Type de déclaration""","Formulaire étape 2
""Installation"" (Choix 1 – Une déclaration initiale)","Formulaire étape 3
""Activité du site""","Formulaire étape 4
""Mode d'exploitation""","Formulaire étape 5
""Pièces justificatives""","Formulaire étape 6
""Récapitulatif""","Formulaire étape 6
""Récapitulatif"" – Fin de démarche","Formulaire étape 6
""Récapitulatif"" – Confirmation"
"5","3","na","na","nc|Le tableau ""Choisir l'alinéa"" est un tableau de mise en forme mais l’élément `<table>` est pourvu d’un attribut WAI-ARIA `role=""presentation""`","na","na","na","na","na"
"5","4","na","na","c","c","c","c","c","na"
"5","5","na","na","c","c","c","c","c","na"
"5","6","na","na","c","c","c","c","c","na"
"5","7","na","na","c","na","na","na","na","na"
"5","8","na","na","nc|Le tableau ""Choisir l'alinéa"" contient un élément `<thead>`","na","na","na","na","na"
"6","1","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page.","nc|!F!Le lien ""ici"" n'est pas explicite (en rapport avec le sondage).|Le lien image ""eAccessibilité"" dans le footer a pour intitulé ""Service-public.fr titulaire du niveau 5 du label e-accessible - lien vers la page Accessibilité"". Attention, la page ""Accessibilité"" correspond à une autre page."
"6","2","c","c","c","c","c","c","c","c"
"7","1","nc|!M!Le sous-panneau s'ouvrant lorsque l'on sélectionne ""Une déclaration de modification"" peut passer inaperçu lorsque l'on navigue au clavier (touches HAUT et BAS pour sélectionner les différentes options en boutons radio) et qu'on utilise un lecteur d'écran. On peut par exemple, au niveau du bouton radio, 1) ajouter un attribut `aria-controls` pour pointer vers le bloc de saisie supplémentaire et 2) ajouter un texte caché visuellement (`class=""sr-only""`) ""Saisie complémentaire requise - affichage automatique"". Aussi, les options supplémentaires pourraient s'afficher (et s'énoncer) sous le groupe de boutons radio, ce qui permettrait d'éviter de ""passer à côté"" de ces options lorsque l'on utilise uniquement les touches HAUT et BAS au niveau des boutons radio.","nc|!D!Le changement d'état de ""désactivé"" vers ""activé"" du bouton ""Préremplir le formulaire"" n'est pas restituté par les technologie d'assistance. On peut par exemple utiliser l'attribut `aria-live` sur une nouveau paragraphe décrivant la validité du numéro de SIRET entré.|De la même manière, le préremplissage effectif du formulaire suite à l'activation de ce bouton n'est également pas annoncé par les lecteurs d'écran. Un message de statut avec `role=""status""` devrait résoudre ce problème.|Par ailleurs, le bloc de saisie supplémentaire s'affichant lorsque l'on sélectionne ""Oui"" pour *""L'installation est-elle implantée sur le territoire de plusieurs communes""* (qui permet de saisir une liste de communes) gagnerait à être un peu mieux signalé pour les personnes utilisant un lecteur d'écran. On peut par exemple, au niveau du bouton radio ""Oui"" 1) ajouter un attribut `aria-controls` pour pointer vers le bloc de saisie supplémentaire et 2) ajouter un texte caché visuellement (`class=""sr-only""`) ""Saisie complémentaire requise - affichage automatique"".|Les communes s'affichant après avoir entré les premières lettre d'un code postal ou d'une commune ne sont pas vocalisées par les lecteurs d'écran. On peut penser au role `combobox` pour ce composant d'interface (voir [Editable Combobox With Both List and Inline Autocomplete](https://w3c.github.io/aria-practices/examples/combobox/combobox-autocomplete-both.html)","nc|!D!Les rubriques s'affichant après avoir entré les premiers caractères correspondant à une rubrique ne sont pas vocalisées par les lecteurs d'écran. On peut penser au role `combobox` pour ce composant d'interface (voir [Editable Combobox With Both List and Inline Autocomplete](https://w3c.github.io/aria-practices/examples/combobox/combobox-autocomplete-both.html)","nc|!D!Les rubriques s'affichant après avoir entré les premiers caractères correspondant à un code de déchet à traiter ne sont pas vocalisées par les lecteurs d'écran. On peut penser au role `combobox` pour ce composant d'interface (voir [Editable Combobox With Both List and Inline Autocomplete](https://w3c.github.io/aria-practices/examples/combobox/combobox-autocomplete-both.html)","nc|!D!La suppression des pièces justificatives mériterait un message de statut pour prévenir du succès de l'opération","c","c","c"
"7","2","nc|!D!Le bloc de saisie supplémentaire pour l'option ""déclaration de modification"" est bien affiché lorsque JavaScript est désactivé, mais lorsque l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!D!Lorsque JavaScript est désactivé et que l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!D!Lorsque JavaScript est désactivé et que l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!D!Lorsque JavaScript est désactivé et que l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!D!Lorsque JavaScript est désactivé et que l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!D!Lorsque JavaScript est désactivé et que l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!D!Lorsque JavaScript est désactivé et que l'on active le bouton ""Suivant >"", le résultat sur la page suivante est ""Un problème est survenu lors de votre navigation. Merci de réessayer ultérieuremen"".|Message d'avertissement en haut de la page ""Javascript est desactivé dans votre navigateur."" : attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","nc|!M!Les téléchargements ne fonctionnent pas sans JavaScript activé. Lecture intéressante : https://accessabilly.com/proposal-for-a-more-accessible-download-link/"
"7","3","c","c","c|Attention, lorsque l'on sort de la modale liée à la rubrique ""Nature et volumes des activités""","c","c","c","c","c"
"7","4","c","c","nc|Pour la rubrique 2102 par exemple, le focus sur la case ""Quantité / Nombre d'animaux-équivalents"" fait apparaitre une boite de dialogue ""Compléter le nombre d'animaux"" (`id=""modalQuantiteDICPE""`) sans avertir l'utilisateur","c","c","c","c","c"
"7","5","c","c|Le succès du pré-remplissage des champs mérierait l'utilisation d'un message de statut.","na","c|Message ""Données récupérées, reprise de la navigation."" : de quelles données parle-t-on ?","na","na","na","c|Essayer de décaler l'apparition du message ""Merci, votre demande a été transmise."" (avec l'attribut `role=""alert""`pour que ce dernier soit correctement lu par les lecteurs d'écran."
"8","1","c","c","c","c","c","c","c","c"
"8","2","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`","c|!F!Supprimer un `aria-hidden` superflu dans la balise `<input aria-hidden=""true"" id=""demarche-release"" type=""hidden"" disabled=""disabled"" value=""2.0.0-RELEASE"">`"
"8","3","c","c","c","c","c","c","c","c"
"8","4","c","c","c","c","c","c","c","c"
"8","5","c","c","c","c","c","c","c","c"
"8","6","c","c","c","c","c","c","c","c"
"8","7","na","na","na","na","na","na","na","na"
"8","8","na","na","na","na","na","na","na","na"
"8","9","c|!F!Le rôle ""presentation"" des éléments `<div class=""radio"" role=""presentation"">` est superflu","c","c","nc|Plusieurs `<br>`utilisés pour simuler un ","c","c","c","nc|""Votre avis nous intéresse"" devrait être un titre (`<h3>`)"
"8","10","na","na","na","na","na","na","na","na"
"9","1","c","c","c","c","c","c","c","c"
"9","2","c","c","c","c","c","c","c","c"
"9","3","c","c","c","c","c","c","c","c"
"9","4","na","na","na","na","na","na","na","na"
"10","1","c","c","c","c","c","c","c","c"
"10","2","c","c","c","c","c","c","c","c"
"10","3","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)","c|!M!Les étapes sont affichées avec des numéros d'étape accolés au texte en préfixe alors que la liste ordonnée (`<ol>`) affiche déjà des numéros. On pourrait éviter cela en en utilisant la variable [`counter`] dans le CSS (https://developer.mozilla.org/fr/docs/Web/CSS/CSS_Lists_and_Counters/Using_CSS_counters). Cf. [Multi-page Forms / Using step-by-step indicator](https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator)"
"10","4","c","c","c","c","c","c","c","c"
"10","5","c","c","c","c","c","c","c","c"
"10","6","c","c","c","c","c","c","c","c"
"10","7","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|!M!Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)"
"10","8","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator","nc|!D!Les étapes futures du formulaire (""steps"") sont cachées avec `aria-hidden=""true""`. On peut s'inspirer de cet exemple : https://www.w3.org/WAI/tutorials/forms/multi-page/#using-step-by-step-indicator"
"10","9","c","c","c","c","c","c","c","c"
"10","10","c","c","c","c","c","c","c","c"
"10","11","c|!M!Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","c|!M!Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","c|!M!Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","c|!M!Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","c|!M!Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","c|!M!Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","nc|!M!Le cadre ""Je ne suis pas un robot"" (ReCAPTCHA) dépasse|Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","nc|!M!Les textes ""Télécharger cerfa-xxx.pdf [format pdf - 331 Ko]"" dépassent.|Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu."
"10","12","c","c","c","c","c","c","c","c"
"10","13","na","na","na","na","na","na","na","na"
"10","14","na","na","na","na","na","na","na","na"
"11","1","c","c","c","c","c","c","c","na"
"11","2","c","c","c","c","c","c","c","na"
"11","3","nc|À l'étape 1, le numéro de téléphone était demandé sur 10 chiffres (sans séparer l'indicatif). Ce n'est plus le cas à l'étape 2 où on demande d'abord l'indicatif puis le numéro sur 9 chiffres","nc|À l'étape 1, le numéro de téléphone était demandé sur 10 chiffres (sans séparer l'indicatif). Ce n'est plus le cas à l'étape 2 où on demande d'abord l'indicatif puis le numéro sur 9 chiffres","na","na","na","na","na","na"
"11","4","c","c","c","c","c","c","c","na"
"11","5","nc|!F!Les champs de type bouton radio ne sont pas regroupés dans une balise possédant un attribut WAI-ARIA role=""radiogroup"" ou role=""group""","nc|!F!Les champs de type bouton radio ne sont pas regroupés dans une balise possédant un attribut WAI-ARIA role=""radiogroup"" ou role=""group"".|Les champs de chaque section qui commence par un titre h3 pourraient être regroupés dans des élément `<fieldset>`. Par exemple, ""Adresse de l’installation"" pourrait être la légende d'un *fieldset* regroupant les champs ""étage"", ""immeuble"", ""numéro"", ""boite postale"" et ""code postal"".","nc|!F!Les champs de type bouton radio ne sont pas regroupés dans une balise possédant un attribut WAI-ARIA role=""radiogroup"" ou role=""group"".","nc|!F!Les cases à cocher et les champs de type bouton radio ne sont pas regroupés dans une balise possédant un attribut WAI-ARIA role=""radiogroup"" ou role=""group"".","na","na","na","na"
"11","6","na","na","na","na","na","na","na","na"
"11","7","na","na","na","na","na","na","na","na"
"11","8","na","na","na","na","na","na","na","na"
"11","9","c","nc|Le bouton d'aide pour le champ ""Veuillez précisez les noms des communes concernées"" a pour intitulé ""??psl.moninstallation.chCommunes.help.label_fr_FR??""","nc|Le bouton pour fermer la modale ""Choisir l'alinéa"" est en anglais (""Close"")|Le bouton d'aide pour le champ ""Commentaires"" a pour intitulé ""??chCommentaireInit.composant.billet.infobulle.label_fr_FR??""","nc|Le bouton d'aide pour le champ ""Q : Quantité d'azote épandue inscrite au plan d'épandage (en kg N)"" a pour intitulé ""??psl.modeExploitation.chq.help.label_fr_FR??"".|Aussi : ""??psl.agrementNatura2000.title1.help.label_fr_FR??""","c|!F!Les intitulés ""Supprimer le document"" ne sont pas assez précis : ils devraient inclure le nom du document|Attention, l'intitulé des boutons ""Depuis mon ordinateur"" (pour ajouter des fichiers depuis son ordinateur) sont très longs. Par exemple, pour ""plan d'ensemble"", on peut certainement enlever le label ""`lblPiecesJointes_planEnsemble`"" de la liste, car une description similaire existe : ""`lblPiecesJointes_planEnsemble_sronly`""","c","na","c"
"11","10","nc|!F!Le test 11.10.5 échoue (dans le cas où l'option ""Une déclaration de modification"" est sélectionnée il n'est pas indiqué qu'il faut sélectionner au moins un choix de modification à réaliser)","c","c","c","c","na","c","na"
"11","11","c","nc|!F!Le conseil pour le SIRET est incorrect (""12345678912345"" n'est pas un SIRET valide)","c","nc|Pour ""Veuillez préciser le volume maximum annuel rejeté dans le milieu naturel (en m3)"" la suggestion lorsque l'on entre des lettres à la place d'un nombre est ""Le format saisi n'est pas correct."". Il faudrait préciser.","c","c","c","na"
"11","12","na","na","na","na","na","na","na","na"
"11","13","na","nc|!F!Le champ ""Enseigne ou nom usuel du site"" pourrait avoir l'attribut `autocomplete=""organization""`|Pour le champ ""Identité du déclarant"", il n'y a pas d'`autocomplete` sur le nom et sur le prénom.|Pareil pour le champ pays, on pourrait utiliser l'attribut `autocomplete=""country-name""`.|À vérifier sur l'ensemble des champs...","na","na","na","na",,"na"
"12","1","c","c","c","c","c","c","c","c"
"12","2","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes","nc|!D!Les barres de navigation dans le footer sont différentes"
"12","3","c","c","c","c","c","c","c","c"
"12","4","c","c","c","c","c","c","c","c"
"12","5","c","c","c","c","c","c","c","c"
"12","6","c","c","c","c","c","c","c","c"
"12","7","c","c","c","c","c","c","c","c"
"12","8","c","c","c","c","c","c","c","c"
"12","9","c","c","c","c","c","c","c","c"
"12","10","na","na","na","na","na","na","na","na"
"12","11","c","c","c","c","c","c","c","c"
"13","1","c","c","c","c","c","c","c","c"
"13","2","c","c","c","c","c","c","c","c"
"13","3","na","na","c|!D!Le document PDF de nomenclature ICPE (https://aida.ineris.fr/sites/default/files/gesdoc/30296/BrochureNom_v51public.pdf) n'est pas accessible (Dérogation).","na","na","na","na","nc|Les documents en téléchargement ne sont pas accessibles"
"13","4","na","na","na","na","na","na","na","na"
"13","5","na","na","na","na","na","na","na","na"
"13","6","na","na","na","na","na","na","na","na"
"13","7","na","na","na","na","na","na","na","na"
"13","8","na","na","na","na","na","na","na","na"
"13","9","c","c","c","c","c","c","c","c"
"13","10","na","na","na","na","na","na","na","na"
"13","11","na","na","na","na","na","na","na","na"
"13","12","na","na","na","na","na","na","na","na"
